id,title,status,createdOn,closedOn,blocked,blockedBy,blockedSince,resumedAt,timeBlocked,blockReason,owner,handedTo,ticketType,sprint,team,timeInDev,Event_Log
T-1010,Feature 10,Done,2025-06-04,2025-06-08,FALSE,,,,,,Charlie,Dana,Bug,Sprint 22,Alpha,3d 8h,"[{""status"":""To Do"",""timestamp"":""2025-06-04T09:00:00Z"",""by"":""Charlie""},{""status"":""In Progress"",""timestamp"":""2025-06-05T10:00:00Z"",""by"":""Charlie""},{""status"":""Done"",""timestamp"":""2025-06-08T15:00:00Z"",""by"":""Dana""}]"
T-1011,Feature 11,Done,2025-06-13,2025-06-20,TRUE,Reliance,2025-06-14,2025-06-16,2d 0h,Waiting on dependency,Eve,Alice,Infra,Sprint 21,Alpha,0d 13h,"[{""status"":""To Do"",""timestamp"":""2025-06-13T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-14T10:00:00Z"",""by"":""Eve""},{""status"":""Blocked"",""timestamp"":""2025-06-14T12:00:00Z"",""by"":""Eve"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-16T09:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-20T15:00:00Z"",""by"":""Alice""}]"
T-1012,Feature 12,Done,2025-06-04,2025-06-12,TRUE,Internal Dependency,2025-06-05,2025-06-06,1d 0h,Waiting on dependency,Dana,Bob,Infra,,Beta,0d 22h,"[{""status"":""To Do"",""timestamp"":""2025-06-04T09:00:00Z"",""by"":""Dana""},{""status"":""In Progress"",""timestamp"":""2025-06-05T10:00:00Z"",""by"":""Dana""},{""status"":""Blocked"",""timestamp"":""2025-06-05T12:00:00Z"",""by"":""Dana"",""blockedBy"":""Internal Dependency"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-06T09:00:00Z"",""by"":""Dana""},{""status"":""Done"",""timestamp"":""2025-06-12T15:00:00Z"",""by"":""Bob""}]"
T-1013,Feature 13,Done,2025-06-07,2025-06-13,TRUE,Reliance,2025-06-08,2025-06-09,1d 0h,Waiting on dependency,Alice,Alice,Bug,,Alpha,1d 16h,"[{""status"":""To Do"",""timestamp"":""2025-06-07T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-08T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-08T12:00:00Z"",""by"":""Alice"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-09T09:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-13T15:00:00Z"",""by"":""Alice""}]"
T-1014,Feature 14,Done,2025-06-02,2025-06-09,FALSE,,,,,,Dana,Eve,Story,,Alpha,2d 11h,"[{""status"":""To Do"",""timestamp"":""2025-06-02T09:00:00Z"",""by"":""Dana""},{""status"":""In Progress"",""timestamp"":""2025-06-03T10:00:00Z"",""by"":""Dana""},{""status"":""Done"",""timestamp"":""2025-06-09T15:00:00Z"",""by"":""Eve""}]"
T-1015,Feature 15,Done,2025-06-15,2025-06-25,TRUE,Reliance,2025-06-16,2025-06-17,1d 0h,Waiting on dependency,Alice,Alice,Bug,Sprint 21,Alpha,5d 8h,"[{""status"":""To Do"",""timestamp"":""2025-06-15T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-16T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-16T12:00:00Z"",""by"":""Alice"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-17T09:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-25T15:00:00Z"",""by"":""Alice""}]"
T-1016,Feature 16,Done,2025-06-10,2025-06-17,TRUE,,2025-06-11,2025-06-12,1d 0h,Waiting on dependency,Eve,Alice,Infra,,Gamma,1d 15h,"[{""status"":""To Do"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-11T10:00:00Z"",""by"":""Eve""},{""status"":""Blocked"",""timestamp"":""2025-06-11T12:00:00Z"",""by"":""Eve"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-12T09:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-17T15:00:00Z"",""by"":""Alice""}]"
T-1017,Feature 17,Done,2025-06-06,2025-06-12,TRUE,Reliance,2025-06-07,2025-06-10,3d 0h,Waiting on dependency,Alice,Dana,Bug,Sprint 20,Gamma,3d 21h,"[{""status"":""To Do"",""timestamp"":""2025-06-06T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-07T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-07T12:00:00Z"",""by"":""Alice"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-12T15:00:00Z"",""by"":""Dana""}]"
T-1018,Feature 18,To Do,2025-06-07,,TRUE,QA,2025-06-08,2025-06-10,2d 0h,Waiting on dependency,Alice,Bob,Bug,Sprint 22,Beta,1d 2h,"[{""status"":""To Do"",""timestamp"":""2025-06-07T09:00:00Z"",""by"":""Alice""}]"
T-1019,Feature 19,Done,2025-06-14,2025-06-22,TRUE,QA,2025-06-15,2025-06-17,2d 0h,Waiting on dependency,Eve,Dana,Bug,Sprint 22,Gamma,3d 22h,"[{""status"":""To Do"",""timestamp"":""2025-06-14T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-15T10:00:00Z"",""by"":""Eve""},{""status"":""Blocked"",""timestamp"":""2025-06-15T12:00:00Z"",""by"":""Eve"",""blockedBy"":""QA"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-17T09:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-22T15:00:00Z"",""by"":""Dana""}]"
T-1020,Feature 20,In Progress,2025-06-15,,FALSE,,,,,,Bob,Bob,Infra,,Beta,4d 2h,"[{""status"":""To Do"",""timestamp"":""2025-06-15T09:00:00Z"",""by"":""Bob""},{""status"":""In Progress"",""timestamp"":""2025-06-15T10:00:00Z"",""by"":""Bob""}]"
T-1021,Feature 21,Done,2025-06-04,2025-06-14,FALSE,,,,,,Charlie,Eve,Infra,Sprint 20,Alpha,4d 15h,"[{""status"":""To Do"",""timestamp"":""2025-06-04T09:00:00Z"",""by"":""Charlie""},{""status"":""In Progress"",""timestamp"":""2025-06-05T10:00:00Z"",""by"":""Charlie""},{""status"":""Done"",""timestamp"":""2025-06-14T15:00:00Z"",""by"":""Eve""}]"
T-1022,Feature 22,Blocked,2025-06-12,,TRUE,QA,2025-06-13,2025-06-17,4d 0h,Waiting on dependency,Alice,Bob,Bug,Sprint 22,Gamma,0d 19h,"[{""status"":""To Do"",""timestamp"":""2025-06-12T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-13T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-13T12:00:00Z"",""by"":""Alice"",""blockedBy"":""QA"",""reason"":""Waiting on dependency""}]"
T-1023,Feature 23,Done,2025-06-15,2025-06-22,TRUE,Internal Dependency,2025-06-16,2025-06-17,1d 0h,Waiting on dependency,Dana,Dana,Infra,Sprint 20,Alpha,2d 20h,"[{""status"":""To Do"",""timestamp"":""2025-06-15T09:00:00Z"",""by"":""Dana""},{""status"":""In Progress"",""timestamp"":""2025-06-16T10:00:00Z"",""by"":""Dana""},{""status"":""Blocked"",""timestamp"":""2025-06-16T12:00:00Z"",""by"":""Dana"",""blockedBy"":""Internal Dependency"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-17T09:00:00Z"",""by"":""Dana""},{""status"":""Done"",""timestamp"":""2025-06-22T15:00:00Z"",""by"":""Dana""}]"
T-1024,Feature 24,Done,2025-06-13,2025-06-17,TRUE,,2025-06-14,2025-06-16,2d 0h,Waiting on dependency,Dana,Charlie,Bug,Sprint 22,Alpha,3d 14h,"[{""status"":""To Do"",""timestamp"":""2025-06-13T09:00:00Z"",""by"":""Dana""},{""status"":""In Progress"",""timestamp"":""2025-06-14T10:00:00Z"",""by"":""Dana""},{""status"":""Blocked"",""timestamp"":""2025-06-14T12:00:00Z"",""by"":""Dana"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-16T09:00:00Z"",""by"":""Dana""},{""status"":""Done"",""timestamp"":""2025-06-17T15:00:00Z"",""by"":""Charlie""}]"
T-1025,Feature 25,Done,2025-06-15,2025-06-22,TRUE,,2025-06-16,2025-06-20,4d 0h,Waiting on dependency,Alice,Charlie,Bug,,Alpha,3d 14h,"[{""status"":""To Do"",""timestamp"":""2025-06-15T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-16T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-16T12:00:00Z"",""by"":""Alice"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-20T09:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-22T15:00:00Z"",""by"":""Charlie""}]"
T-1026,Feature 26,Done,2025-06-16,2025-06-26,TRUE,QA,2025-06-17,2025-06-20,3d 0h,Waiting on dependency,Dana,Dana,Bug,,Alpha,4d 21h,"[{""status"":""To Do"",""timestamp"":""2025-06-16T09:00:00Z"",""by"":""Dana""},{""status"":""In Progress"",""timestamp"":""2025-06-17T10:00:00Z"",""by"":""Dana""},{""status"":""Blocked"",""timestamp"":""2025-06-17T12:00:00Z"",""by"":""Dana"",""blockedBy"":""QA"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-20T09:00:00Z"",""by"":""Dana""},{""status"":""Done"",""timestamp"":""2025-06-26T15:00:00Z"",""by"":""Dana""}]"
T-1027,Feature 27,To Do,2025-06-15,,TRUE,Reliance,2025-06-16,2025-06-21,5d 0h,Waiting on dependency,Alice,Dana,Infra,Sprint 22,Beta,6d 0h,"[{""status"":""To Do"",""timestamp"":""2025-06-15T09:00:00Z"",""by"":""Alice""}]"
T-1028,Feature 28,Done,2025-06-02,2025-06-05,FALSE,,,,,,Alice,Eve,Bug,Sprint 21,Beta,3d 0h,"[{""status"":""To Do"",""timestamp"":""2025-06-02T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-03T10:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-05T15:00:00Z"",""by"":""Eve""}]"
T-1029,Feature 29,Done,2025-06-10,2025-06-16,FALSE,,,,,,Eve,Charlie,Story,,Gamma,3d 8h,"[{""status"":""To Do"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-11T10:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-16T15:00:00Z"",""by"":""Charlie""}]"
